Input,Output
"[-0.35662464004882816, 0.9153620557769737, -0.6102111699470054, -0.048840657366000295, 0.18569101351947812]","[-0.3123844483966074, 0.932536989812997, -0.6399885215219258, -0.13422063304211362, 0.20557592450471757]"
"[-0.3123844483966074, 0.932536989812997, -0.6399885215219258, -0.13422063304211362, 0.20557592450471757]","[-0.2889649596974976, 0.9309505443602817, -0.6127069722486236, -0.20253173465275745, 0.23994336688874246]"
"[-0.2889649596974976, 0.9309505443602817, -0.6127069722486236, -0.20253173465275745, 0.23994336688874246]","[-0.3313028731500213, 0.8926976623378894, -0.5958565992463121, -0.2732946413466598, 0.2824438142360386]"
"[-0.3313028731500213, 0.8926976623378894, -0.5958565992463121, -0.2732946413466598, 0.2824438142360386]","[-0.24971183722013487, 0.846130262135485, -0.6858300552208296, -0.17680830017972013, 0.2264331340186726]"
"[-0.24971183722013487, 0.846130262135485, -0.6858300552208296, -0.17680830017972013, 0.2264331340186726]","[-0.29768262054420214, 0.7888900520829821, -0.7173546946686447, -0.07973028299760254, 0.2350033439392637]"
"[-0.29768262054420214, 0.7888900520829821, -0.7173546946686447, -0.07973028299760254, 0.2350033439392637]","[-0.2137523196907519, 0.8689417756976893, -0.7342271578973142, -0.13157208042567897, 0.21574954120725695]"
"[-0.2137523196907519, 0.8689417756976893, -0.7342271578973142, -0.13157208042567897, 0.21574954120725695]","[-0.14169576338355583, 0.927703194679074, -0.7549226151132941, -0.1893386079847781, 0.23827389229286394]"
"[-0.14169576338355583, 0.927703194679074, -0.7549226151132941, -0.1893386079847781, 0.23827389229286394]","[-0.14673417486542661, 0.9154260340435502, -0.8245993117517157, -0.17044629438044234, 0.1744492778123472]"
"[-0.14673417486542661, 0.9154260340435502, -0.8245993117517157, -0.17044629438044234, 0.1744492778123472]","[-0.05735521959377601, 0.859284821166727, -0.8438375209259492, -0.1758373830839052, 0.10135753529223927]"
"[-0.05735521959377601, 0.859284821166727, -0.8438375209259492, -0.1758373830839052, 0.10135753529223927]","[0.034890384477314684, 0.7945600229943928, -0.9102084644915835, -0.217777396939272, 0.08936370402212264]"
"[0.034890384477314684, 0.7945600229943928, -0.9102084644915835, -0.217777396939272, 0.08936370402212264]","[-0.0014412433143610737, 0.8759271373516065, -0.9018826170829422, -0.14823477876105046, -0.010071196463717777]"
"[-0.0014412433143610737, 0.8759271373516065, -0.9018826170829422, -0.14823477876105046, -0.010071196463717777]","[0.0032487428323821343, 0.8079869141887897, -0.9638046356597281, -0.18173513534938363, 0.003718366656568814]"
"[0.0032487428323821343, 0.8079869141887897, -0.9638046356597281, -0.18173513534938363, 0.003718366656568814]","[-0.014926073373516008, 0.8854378450362459, -0.8968930995847646, -0.09291778050471508, 0.0463519721142001]"
"[-0.014926073373516008, 0.8854378450362459, -0.8968930995847646, -0.09291778050471508, 0.0463519721142001]","[0.028368214028818478, 0.8953100094109544, -0.8735520146576966, -0.0031492406449855626, 0.0918877640039188]"
"[0.028368214028818478, 0.8953100094109544, -0.8735520146576966, -0.0031492406449855626, 0.0918877640039188]","[0.03926794977872733, 0.9429859357851541, -0.7951996126759296, -0.06815697557288664, 0.14670791752073792]"
"[0.03926794977872733, 0.9429859357851541, -0.7951996126759296, -0.06815697557288664, 0.14670791752073792]","[-0.026182459057052535, 0.9685521301403142, -0.8156458345139227, -0.006413082867376074, 0.1743233413501309]"
"[-0.026182459057052535, 0.9685521301403142, -0.8156458345139227, -0.006413082867376074, 0.1743233413501309]","[-0.01635148266906926, 1.033885322322516, -0.7255696998852007, -0.07709867925680874, 0.24828160919965064]"
"[-0.01635148266906926, 1.033885322322516, -0.7255696998852007, -0.07709867925680874, 0.24828160919965064]","[0.024342690725130664, 0.9876743112794992, -0.7710645186235993, -0.1007357670157213, 0.1590902829422503]"
"[0.024342690725130664, 0.9876743112794992, -0.7710645186235993, -0.1007357670157213, 0.1590902829422503]","[0.05442789609975028, 0.9161612227888064, -0.6710811752358493, -0.16498457763150365, 0.06535781190773944]"
"[0.05442789609975028, 0.9161612227888064, -0.6710811752358493, -0.16498457763150365, 0.06535781190773944]","[-0.012814504108030492, 0.894175064189598, -0.7245021093745874, -0.2316376197381094, 0.012151597008382309]"
"[-0.012814504108030492, 0.894175064189598, -0.7245021093745874, -0.2316376197381094, 0.012151597008382309]","[-0.0015487489486618183, 0.8397641143918051, -0.7191260584051736, -0.19044655326256257, -0.07282641316606826]"
"[-0.0015487489486618183, 0.8397641143918051, -0.7191260584051736, -0.19044655326256257, -0.07282641316606826]","[-0.03052271103950302, 0.829025936055609, -0.7777929526945706, -0.248278693932552, -0.13032441013440177]"
"[-0.03052271103950302, 0.829025936055609, -0.7777929526945706, -0.248278693932552, -0.13032441013440177]","[-0.038669816269583754, 0.9070182946681621, -0.8351183038890914, -0.172056465181799, -0.05325351211663601]"
"[-0.038669816269583754, 0.9070182946681621, -0.8351183038890914, -0.172056465181799, -0.05325351211663601]","[-0.046051988243724154, 0.9307582106248785, -0.8021759479154145, -0.15437116565368159, -0.034823997630636885]"
"[-0.046051988243724154, 0.9307582106248785, -0.8021759479154145, -0.15437116565368159, -0.034823997630636885]","[-0.09929608964189442, 0.8422697486863495, -0.7228145911900077, -0.1618797754892921, -0.016723312293238077]"
"[-0.09929608964189442, 0.8422697486863495, -0.7228145911900077, -0.1618797754892921, -0.016723312293238077]","[-0.19785436405093, 0.9026728730414745, -0.706625093714235, -0.1784218785143457, 0.05612926073290957]"
"[-0.19785436405093, 0.9026728730414745, -0.706625093714235, -0.1784218785143457, 0.05612926073290957]","[-0.2884650585525026, 0.8166874274434293, -0.7275111933312449, -0.20705982899234043, 0.09535968957988115]"
"[-0.2884650585525026, 0.8166874274434293, -0.7275111933312449, -0.20705982899234043, 0.09535968957988115]","[-0.28366147968169514, 0.7436937878449825, -0.6764848885752935, -0.25008914128358045, 0.033216064223011516]"
"[-0.28366147968169514, 0.7436937878449825, -0.6764848885752935, -0.25008914128358045, 0.033216064223011516]","[-0.30093944467892875, 0.6544922485057411, -0.7185896567122386, -0.30678302748480596, 0.056582639108374605]"
"[-0.30093944467892875, 0.6544922485057411, -0.7185896567122386, -0.30678302748480596, 0.056582639108374605]","[-0.24525851864071987, 0.5954386986163142, -0.7756224732987111, -0.3871820364335853, 0.13924807022785263]"
"[-0.24525851864071987, 0.5954386986163142, -0.7756224732987111, -0.3871820364335853, 0.13924807022785263]","[-0.26924787484012946, 0.5527541809395516, -0.7537009497622473, -0.3511715674091135, 0.06055346528268929]"
"[-0.26924787484012946, 0.5527541809395516, -0.7537009497622473, -0.3511715674091135, 0.06055346528268929]","[-0.2366424736436948, 0.5612738058696005, -0.7648254207193139, -0.26010782404515714, 0.08678731740338022]"
"[-0.2366424736436948, 0.5612738058696005, -0.7648254207193139, -0.26010782404515714, 0.08678731740338022]","[-0.13670867417870325, 0.6068833770270702, -0.8615662529093058, -0.22184437022984752, 0.180286093280128]"
"[-0.13670867417870325, 0.6068833770270702, -0.8615662529093058, -0.22184437022984752, 0.180286093280128]","[-0.083296471971788, 0.6061756087786557, -0.8946658654106197, -0.218482066963487, 0.12176524898371668]"
"[-0.083296471971788, 0.6061756087786557, -0.8946658654106197, -0.218482066963487, 0.12176524898371668]","[-0.012916946929019235, 0.5128139669194223, -0.909744292172791, -0.2862045911958384, 0.0481588990074687]"
"[-0.012916946929019235, 0.5128139669194223, -0.909744292172791, -0.2862045911958384, 0.0481588990074687]","[-0.0021651094401023557, 0.48022086494853017, -0.86898531545934, -0.23872231527219614, 0.0925474474782157]"
"[-0.0021651094401023557, 0.48022086494853017, -0.86898531545934, -0.23872231527219614, 0.0925474474782157]","[0.03787952604160909, 0.5643044841661474, -0.9095968130983692, -0.2705291409096183, 0.10312679373028563]"
"[0.03787952604160909, 0.5643044841661474, -0.9095968130983692, -0.2705291409096183, 0.10312679373028563]","[0.08165762671010644, 0.5606468674036886, -0.8973392193320244, -0.18229518850356008, 0.07532463105373903]"
"[0.08165762671010644, 0.5606468674036886, -0.8973392193320244, -0.18229518850356008, 0.07532463105373903]","[0.1469914949292011, 0.5143530595755998, -0.849107872754089, -0.13452522264673053, 0.14168273225699424]"
"[0.1469914949292011, 0.5143530595755998, -0.849107872754089, -0.13452522264673053, 0.14168273225699424]","[0.14135869625294872, 0.5336948365130716, -0.8151177436631181, -0.20956574793231308, 0.2094401049225499]"
"[0.14135869625294872, 0.5336948365130716, -0.8151177436631181, -0.20956574793231308, 0.2094401049225499]","[0.05290227637484399, 0.43439667824352163, -0.7808717719408436, -0.2628120528174359, 0.1814106166640429]"
"[0.05290227637484399, 0.43439667824352163, -0.7808717719408436, -0.2628120528174359, 0.1814106166640429]","[0.014534225522864486, 0.47546438314035916, -0.7429918631140252, -0.17241571357970495, 0.22424657722036298]"
"[0.014534225522864486, 0.47546438314035916, -0.7429918631140252, -0.17241571357970495, 0.22424657722036298]","[0.1050519646453775, 0.3934405098281424, -0.7059808712849752, -0.2538121467028821, 0.2993873203696208]"
"[0.1050519646453775, 0.3934405098281424, -0.7059808712849752, -0.2538121467028821, 0.2993873203696208]","[0.047346436037484986, 0.44599152697541694, -0.7947619263108738, -0.27650586413567024, 0.33583008510610063]"
"[0.047346436037484986, 0.44599152697541694, -0.7947619263108738, -0.27650586413567024, 0.33583008510610063]","[0.04564535995045744, 0.5158116149754791, -0.7564145919332492, -0.1779370706282797, 0.36063106251213034]"
"[0.04564535995045744, 0.5158116149754791, -0.7564145919332492, -0.1779370706282797, 0.36063106251213034]","[0.062908256745693, 0.5969493429456532, -0.8016299849875944, -0.21891221527046206, 0.28091471292897274]"
"[0.062908256745693, 0.5969493429456532, -0.8016299849875944, -0.21891221527046206, 0.28091471292897274]","[0.023251567979762355, 0.63172899055885, -0.7269226343654831, -0.21190355913374168, 0.24606931552859976]"
"[0.023251567979762355, 0.63172899055885, -0.7269226343654831, -0.21190355913374168, 0.24606931552859976]","[-0.06827637041129866, 0.6312300060316274, -0.6282754773616558, -0.18236798788805456, 0.3046811927262365]"
"[-0.06827637041129866, 0.6312300060316274, -0.6282754773616558, -0.18236798788805456, 0.3046811927262365]","[-0.032529582511666016, 0.6973963413938623, -0.5797880647483721, -0.13175214888390163, 0.25883748336738394]"
"[-0.032529582511666016, 0.6973963413938623, -0.5797880647483721, -0.13175214888390163, 0.25883748336738394]","[-0.020645693075328153, 0.6239377932269828, -0.5150075588116706, -0.20588571442620485, 0.26002434105388295]"
"[-0.020645693075328153, 0.6239377932269828, -0.5150075588116706, -0.20588571442620485, 0.26002434105388295]","[-0.054060826907810514, 0.7068084401181053, -0.6055514072444458, -0.19151340591482097, 0.28383974387119326]"
"[-0.054060826907810514, 0.7068084401181053, -0.6055514072444458, -0.19151340591482097, 0.28383974387119326]","[0.03720269311607098, 0.6898095156320809, -0.6205500556204989, -0.22217295168132356, 0.3688628738149971]"
"[0.03720269311607098, 0.6898095156320809, -0.6205500556204989, -0.22217295168132356, 0.3688628738149971]","[0.05645578190534785, 0.6027807401295577, -0.524847644610424, -0.282802596066643, 0.4216762843945573]"
"[0.05645578190534785, 0.6027807401295577, -0.524847644610424, -0.282802596066643, 0.4216762843945573]","[0.12463220245703889, 0.595797642437681, -0.5385149076802715, -0.3070134757039725, 0.4493608721031688]"
"[0.12463220245703889, 0.595797642437681, -0.5385149076802715, -0.3070134757039725, 0.4493608721031688]","[0.05753235793990602, 0.5465157489453814, -0.6343108116737479, -0.39104265644517244, 0.47135069819702874]"
"[0.05753235793990602, 0.5465157489453814, -0.6343108116737479, -0.39104265644517244, 0.47135069819702874]","[0.09469695692738811, 0.5316646335684735, -0.5713643543551474, -0.30959198885051376, 0.4758249642589407]"
"[0.09469695692738811, 0.5316646335684735, -0.5713643543551474, -0.30959198885051376, 0.4758249642589407]","[-0.002622785853730325, 0.5994307803788159, -0.5863259336350509, -0.29413469554412813, 0.5286501488330188]"
"[-0.002622785853730325, 0.5994307803788159, -0.5863259336350509, -0.29413469554412813, 0.5286501488330188]","[-0.0003117876043706447, 0.6259164837672462, -0.6230282937937232, -0.29047978007901387, 0.4699751381380459]"
"[-0.0003117876043706447, 0.6259164837672462, -0.6230282937937232, -0.29047978007901387, 0.4699751381380459]","[-0.03185901528806642, 0.7026074451339226, -0.6660387296041266, -0.3768195822270688, 0.4278976708334419]"
"[-0.03185901528806642, 0.7026074451339226, -0.6660387296041266, -0.3768195822270688, 0.4278976708334419]","[-0.013674164908211689, 0.7926559975146957, -0.7452900272057777, -0.3379582428971939, 0.3739503714526892]"
"[-0.013674164908211689, 0.7926559975146957, -0.7452900272057777, -0.3379582428971939, 0.3739503714526892]","[-0.08464378080638155, 0.7461476073691078, -0.8387628185715145, -0.36919098234958847, 0.4341570903030569]"
"[-0.08464378080638155, 0.7461476073691078, -0.8387628185715145, -0.36919098234958847, 0.4341570903030569]","[-0.151958206591876, 0.8144561703244684, -0.7989686873431789, -0.4581928582414523, 0.389330950651771]"
"[-0.151958206591876, 0.8144561703244684, -0.7989686873431789, -0.4581928582414523, 0.389330950651771]","[-0.20851413207711986, 0.7669076379003016, -0.8800964090690899, -0.449142892297044, 0.3623532089761266]"
"[-0.20851413207711986, 0.7669076379003016, -0.8800964090690899, -0.449142892297044, 0.3623532089761266]","[-0.1505880592273724, 0.6993024700643413, -0.9514062810397024, -0.45116470481478876, 0.36470351455119776]"
"[-0.1505880592273724, 0.6993024700643413, -0.9514062810397024, -0.45116470481478876, 0.36470351455119776]","[-0.08345382884693214, 0.633910539051918, -0.9321563723605364, -0.5066086031523682, 0.3576586326353651]"
"[-0.08345382884693214, 0.633910539051918, -0.9321563723605364, -0.5066086031523682, 0.3576586326353651]","[-0.16559666825255293, 0.5657045172485728, -0.898122822459565, -0.5208081734373972, 0.3978516789051445]"
"[-0.16559666825255293, 0.5657045172485728, -0.898122822459565, -0.5208081734373972, 0.3978516789051445]","[-0.23654226892268332, 0.5995162951745407, -0.8833973073985654, -0.5090111873058378, 0.4147711475167801]"
"[-0.23654226892268332, 0.5995162951745407, -0.8833973073985654, -0.5090111873058378, 0.4147711475167801]","[-0.28983716789034764, 0.6301782403695273, -0.9789866140093384, -0.5190348650777141, 0.41680685749488655]"
"[-0.28983716789034764, 0.6301782403695273, -0.9789866140093384, -0.5190348650777141, 0.41680685749488655]","[-0.21633666984452285, 0.6095563921268179, -0.8985087358083629, -0.47444151009371227, 0.46238552956368395]"
"[-0.21633666984452285, 0.6095563921268179, -0.8985087358083629, -0.47444151009371227, 0.46238552956368395]","[-0.3123616173720911, 0.6754758896233523, -0.9456950484087315, -0.5075928610773157, 0.4792066193823108]"
"[-0.3123616173720911, 0.6754758896233523, -0.9456950484087315, -0.5075928610773157, 0.4792066193823108]","[-0.37250559739242955, 0.7097723908315021, -1.000866784272734, -0.5970884382873611, 0.5361127565093504]"
"[-0.37250559739242955, 0.7097723908315021, -1.000866784272734, -0.5970884382873611, 0.5361127565093504]","[-0.3079982489192528, 0.654958469746252, -1.0188686236764748, -0.6207022625488968, 0.5668424788783955]"
"[-0.3079982489192528, 0.654958469746252, -1.0188686236764748, -0.6207022625488968, 0.5668424788783955]","[-0.2547587009913342, 0.7157804816859819, -1.108704592427776, -0.7076512588413788, 0.49218091295020094]"
"[-0.2547587009913342, 0.7157804816859819, -1.108704592427776, -0.7076512588413788, 0.49218091295020094]","[-0.2631174563705545, 0.6586196607480642, -1.1054386547209218, -0.7314312525600674, 0.5625497137952462]"
"[-0.2631174563705545, 0.6586196607480642, -1.1054386547209218, -0.7314312525600674, 0.5625497137952462]","[-0.21609154423195756, 0.6726891479878372, -1.1867825833374719, -0.647422263639599, 0.5929411455260879]"
"[-0.21609154423195756, 0.6726891479878372, -1.1867825833374719, -0.647422263639599, 0.5929411455260879]","[-0.14530055463328367, 0.6589959933716617, -1.210575471431026, -0.6468172223886376, 0.495747323206087]"
"[-0.14530055463328367, 0.6589959933716617, -1.210575471431026, -0.6468172223886376, 0.495747323206087]","[-0.23335867513972636, 0.6579668497248885, -1.2223225156274833, -0.5804013963568734, 0.5952150275739834]"
"[-0.23335867513972636, 0.6579668497248885, -1.2223225156274833, -0.5804013963568734, 0.5952150275739834]","[-0.2558472609633613, 0.6559231254048921, -1.2549964426245486, -0.6327120825107342, 0.6058956038686487]"
